year	country	country_id	hs_category	import_value	export_value
2018	Nauru	nru	Transportation	3457200.0	269700.0
2018	Malaysia	mys	Transportation	10710542509.0	5210798405.0
2018	Tokelau	tkl	Transportation	890583.9999999999	24145589.000000004
2018	Brazil	bra	Transportation	21602304088.0	18527524184.0
2018	New Zealand	nzl	Transportation	7632400876.0	457672615.0
2018	Samoa	wsm	Transportation	34826698.0	2530569.0
2018	Panama	pan	Transportation	9849194013.0	683357998.0
2018	Kazakhstan	kaz	Transportation	3545977913.0	165154957.0
2018	Guam	gum	Transportation	100117559.0	1104393.0
2018	Israel	isr	Transportation	8788353411.0	1604770565.0
2018	Kyrgyzstan	kgz	Transportation	299392212.0	91876045.0
2018	Sudan	sdn	Transportation	846113924.0	50110302.0
2018	Cocos (Keeling) Islands	cck	Transportation	675922.0	381961.0
2018	Syria	syr	Transportation	294527382.0	624949.0
2018	Equatorial Guinea	gnq	Transportation	172805741.0	4108055.0
2018	Norfolk Island	nfk	Transportation	2696802.0	9445.0
2018	Chad	tcd	Transportation	56009089.0	2183747.0
2018	Maldives	mdv	Transportation	184037953.0	3329711.0
2018	Seychelles	syc	Transportation	564923383.0	267366641.0
2018	Kiribati	kir	Transportation	7584834.0	57405.0
2018	Cambodia	khm	Transportation	1717527440.0	417598812.0
2018	Somalia	som	Transportation	160906395.0	3025723.0
2018	Canada	can	Transportation	87407578603.0	72059070558.0
2018	Dominican Republic	dom	Transportation	1598893990.0	46314107.0
2018	Luxembourg	lux	Transportation	3879632035.0	1566837784.0
2018	Palau	plw	Transportation	13709266.0	4881800.0
2018	North Macedonia	mkd	Transportation	583024381.0	841966998.0
2018	Central African Republic	caf	Transportation	22474802.0	142908.0
2018	Namibia	nam	Transportation	1583933318.0	1030054411.0
2018	Lithuania	ltu	Transportation	3864873881.0	1676855037.0
2018	Ecuador	ecu	Transportation	2517198482.0	89526864.0
2018	Denmark	dnk	Miscellaneous	7017352540.0	7863621091.0
2018	Latvia	lva	Miscellaneous	966432723.0	736955584.0
2018	Timor-Leste	tls	Miscellaneous	21008776.0	249610.0
2018	South Africa	zaf	Miscellaneous	4510993677.0	1645053419.0
2018	Tonga	ton	Miscellaneous	10509925.0	364167.0
2018	Andorra	and	Miscellaneous	147571781.0	23727238.0
2018	France	fra	Miscellaneous	46821382110.0	30322656286.0
2018	Madagascar	mdg	Miscellaneous	123752131.0	31750683.0
2018	Macau	mac	Miscellaneous	813373468.0	296273510.0
2018	Sao Tome and Principe	stp	Miscellaneous	6854398.0	877572.0
2018	Wallis and Futuna	wlf	Miscellaneous	2484005.0	97927.0
2018	New Caledonia	ncl	Miscellaneous	129794238.0	3172379.0
2018	Ireland	irl	Miscellaneous	5792613231.0	17471786917.0
2018	Bosnia and Herzegovina	bih	Miscellaneous	521106605.0	941088403.0
2018	Austria	aut	Miscellaneous	12237591179.0	10116734199.0
2018	South Korea	kor	Miscellaneous	30137105441.0	31783404725.0
2018	Costa Rica	cri	Miscellaneous	1128610648.0	3962762011.0
2018	Mauritania	mrt	Miscellaneous	80297316.0	1639162.0
2018	Montenegro	mne	Miscellaneous	216139806.0	16030568.0
2018	China	chn	Miscellaneous	99164351923.0	279689306510.0
2018	Solomon Islands	slb	Miscellaneous	13562869.0	1698124.0
2018	Saudi Arabia	sau	Miscellaneous	10174752571.0	474435914.0
2018	Guinea	gin	Miscellaneous	150398890.0	2145050.0
2018	Slovakia	svk	Miscellaneous	5467382764.0	4180353979.0
2018	Niger	ner	Miscellaneous	142090287.0	6340042.0
2018	Republic of the Congo	cog	Miscellaneous	139783979.0	29192974.0
2018	Cyprus	cyp	Miscellaneous	602229157.0	150415309.0
2018	Greenland	grl	Miscellaneous	53977636.0	1866211.0
2018	Croatia	hrv	Miscellaneous	1604037397.0	1004333224.0
2018	American Samoa	asm	Miscellaneous	2839892.0	1494106.0
2018	Chinese Taipei	\N	Miscellaneous	14059856791.0	24756842628.0
2018	Gibraltar	gib	Miscellaneous	61108354.0	3584660.0
2018	Poland	pol	Miscellaneous	17185957836.0	23766523630.0
2018	United States	usa	Miscellaneous	214861796295.0	124830664524.0
2018	Georgia	geo	Miscellaneous	499945712.0	76406010.0
2018	Germany	deu	Miscellaneous	81098080114.0	108046763150.0
2018	Anguilla	aia	Miscellaneous	20902123.0	2233225.0
2018	Cook Islands	cok	Miscellaneous	7040026.0	270069.0
2018	Saint Lucia	lca	Miscellaneous	18526303.0	415994.0
2018	Nicaragua	nic	Miscellaneous	264971036.0	26940586.0
2018	Mongolia	mng	Miscellaneous	242420976.0	8013815.0
2018	Serbia	srb	Miscellaneous	1170123870.0	1010676509.0
2018	Benin	ben	Miscellaneous	124360426.0	2205953.0
2018	Turkmenistan	tkm	Miscellaneous	129286359.0	3396765.0
2018	Kuwait	kwt	Miscellaneous	2419778237.0	262661955.0
2018	Australia	aus	Miscellaneous	17674873713.0	4074709409.0
2018	French Polynesia	pyf	Miscellaneous	98412786.0	7407694.999999999
2018	Guyana	guy	Miscellaneous	61434049.0	3919735.0
2018	Curaçao	cuw	Miscellaneous	79973799.0	17553860.0
2018	Switzerland	che	Miscellaneous	21472160277.0	44040756986.0
2018	Cameroon	cmr	Miscellaneous	195263835.0	10895256.0
2018	Burma	mmr	Miscellaneous	820620780.0	256241953.0
2018	Djibouti	dji	Miscellaneous	209696373.0	1041671.0
2018	Barbados	brb	Miscellaneous	67597868.0	41422273.0
2018	Burundi	bdi	Miscellaneous	17861518.0	1292308.0
2018	Afghanistan	afg	Miscellaneous	396289985.0	6247517.0
2018	United Arab Emirates	are	Miscellaneous	10604503976.0	4254883691.0
2018	Tuvalu	tuv	Miscellaneous	910583.0	126575.0
2018	Greece	grc	Miscellaneous	2705874026.0	1055453547.0
2018	North Korea	prk	Miscellaneous	163356092.0	52550715.0
2018	Palestine	pse	Miscellaneous	38736505.0	1439606.0
2018	Argentina	arg	Miscellaneous	3147060176.0	290687600.0
2018	Laos	lao	Miscellaneous	241231819.0	96334824.0
2018	Haiti	hti	Miscellaneous	125391666.0	5690713.0
2018	Gabon	gab	Miscellaneous	119844091.0	12019154.0
2018	Tunisia	tun	Miscellaneous	808045363.0	1173144240.0
2018	Brunei	brn	Miscellaneous	220950389.0	35421734.0
2018	Iraq	irq	Miscellaneous	2664712726.0	9586316.0
2018	Jordan	jor	Miscellaneous	1049757505.0	140235410.0
2018	Oman	omn	Miscellaneous	1749663338.0	303357991.0
2018	Suriname	sur	Miscellaneous	68172141.0	3112272.0
2018	Sri Lanka	lka	Miscellaneous	599778794.0	289113231.0
2018	Trinidad and Tobago	tto	Miscellaneous	292312401.0	13622709.0
2018	Yemen	yem	Miscellaneous	196582680.0	1156913.0
2018	French South Antarctic Territory	atf	Miscellaneous	3812773.0	162545.0
2018	Cape Verde	cpv	Miscellaneous	50754104.0	3576615.0
2018	Marshall Islands	mhl	Miscellaneous	13558817.0	709143.0
2018	Bahamas	bhs	Miscellaneous	285709943.0	3973531.0
2018	Albania	alb	Miscellaneous	209089527.0	60799803.0
2018	India	ind	Miscellaneous	14116251452.0	6880045245.0
2018	Tanzania	tza	Miscellaneous	427092675.0	428907543.0
2018	Liberia	lbr	Miscellaneous	66565963.0	5958824.0
2018	El Salvador	slv	Miscellaneous	389627179.0	94003535.0
2018	Turks and Caicos Islands	tca	Miscellaneous	24710898.0	2926993.0
2018	Sierra Leone	sle	Miscellaneous	31782787.0	4575281.0
2018	Slovenia	svn	Miscellaneous	2003338350.0	2380508452.0
2018	Peru	per	Miscellaneous	1974190569.0	180036563.0
2018	Jamaica	jam	Miscellaneous	264076291.0	11393079.0
2018	Falkland Islands	flk	Miscellaneous	5130344.0	137996.0
2018	British Virgin Islands	vgb	Miscellaneous	77427502.0	24966298.0
2018	Cote d\'Ivoire	civ	Miscellaneous	323076034.0	47467252.0
2018	Kenya	ken	Miscellaneous	795531699.0	49510414.0
2018	Zambia	zmb	Miscellaneous	289368082.0	11050181.0
2018	Japan	jpn	Miscellaneous	47030690763.0	56564000899.0
2018	Egypt	egy	Miscellaneous	2971878413.0	459116599.0
2018	Uzbekistan	uzb	Miscellaneous	723260531.0	19897924.0
2018	Burkina Faso	bfa	Miscellaneous	120071731.0	4430251.0
2018	Cayman Islands	cym	Miscellaneous	93568950.0	4917625.0
2018	Colombia	col	Miscellaneous	2632887605.0	438767407.0
2018	Dominica	dma	Miscellaneous	22312675.0	2118841.0
2018	Montserrat	msr	Miscellaneous	1334905.0	587599.0
2018	Micronesia	fsm	Miscellaneous	8818444.0	299451.0
2018	Paraguay	pry	Miscellaneous	717124589.0	41539104.0
2018	Malawi	mwi	Miscellaneous	68391766.0	1150691.0
2018	United Kingdom	gbr	Miscellaneous	45410450251.0	33330675842.0
2018	Algeria	dza	Miscellaneous	1761557242.0	10131001.0
2018	Belize	blz	Miscellaneous	48159528.0	7575876.0
2018	Saint Pierre and Miquelon	spm	Miscellaneous	4424072.0	333824.0
2018	Uganda	uga	Miscellaneous	232558499.0	15981833.0
2018	Christmas Island	cxr	Miscellaneous	1328869.0	304640.0
2018	Rwanda	rwa	Miscellaneous	217892547.0	10917802.0
2018	Singapore	sgp	Miscellaneous	16769238597.0	16164110008.0
2018	Vanuatu	vut	Miscellaneous	18153565.0	319076.0
